iter	RMSE
0	5190667.995
1	5061659.942
2	4962120.342
3	4839047.087
4	4835528.833
5	4834700.543
6	4827465.432
7	4736699.777
8	4620018.901
9	4506225.57
10	4425744.398
11	4372398.39
12	4324232.408
13	4217979.662
14	4198036.089
15	4160816.696
16	4135515.285
17	4034033.952
18	3986561.468
19	3986086.727
20	3985567.285
21	3888310.993
22	3866553.854
23	3866154.53
24	3862679.579
25	3862379.687
26	3826523.715
27	3824701.648
28	3780332.781
29	3780102.725
30	3779908.488
31	3779889.479
32	3779754.82
33	3779626.024
34	3779336.674
35	3779097.974
36	3778230.01
37	3686713.914
38	3686586.384
39	3666724.76
40	3666254.389
41	3665966.452
42	3577379.257
43	3571146.879
44	3560191.753
45	3547465.872
46	3547007.925
47	3462222.684
48	3461409.826
49	3379018.091
50	3298833.381
51	3288156.32
52	3287633.587
53	3287523.407
54	3282729.172
55	3221018.007
56	3175746.681
57	3175296.258
58	3133064.005
59	3059254.392
60	2986906.347
61	2986332.572
62	2966577.943
63	2956914.227
64	2956861.123
65	2947233.576
66	2947138.005
67	2946618.622
68	2877987.367
69	2877178.044
70	2830655.292
71	2804059.074
72	2784839.214
73	2720164.445
74	2692187.943
75	2692060.039
76	2691986.331
77	2691867.305
78	2689034.642
79	2628257.479
80	2626015.663
81	2564566.046
82	2554407.427
83	2495974.946
84	2494993.129
85	2437697.937
86	2436959.369
87	2436940.224
88	2382183.108
89	2378512.057
90	2338620.195
91	2286207.819
92	2236685.405
93	2236639.947
94	2229637.806
95	2226615.788
96	2226596.41
97	2226534.128
98	2178725.184
99	2177027.679
100	2128727.184
101	2128673.327
102	2128113.756
103	2127993.967
104	2125484.459
105	2124730.676
106	2079694.662
107	2071101.402
108	2070969.441
109	2070785.902
110	2070759.182
111	2070732.29
112	2068930.337
113	2024649.456
114	1981295.79
115	1979544.941
116	1973821.59
117	1970198.751
118	1929553.623
119	1889114.314
120	1888995.978
121	1849954.634
122	1847988.092
123	1847735.317
124	1809698.021
125	1809597.656
126	1809565.363
127	1809425.676
128	1809295.397
129	1805960.115
130	1805214.707
131	1804893.176
132	1768190.707
133	1759562.067
134	1759507.052
135	1759330.326
136	1725515.826
137	1723739.794
138	1721100.557
139	1720934.486
140	1718407.482
141	1718231.988
142	1717647.145
143	1716087.617
144	1716059.498
145	1682354.869
146	1649541.957
147	1648884.103
148	1646311.491
149	1645650.94
150	1645648.463
151	1645030.866
152	1642021.471
153	1640094.78
154	1639543.473
155	1639514.174
156	1639419.578
157	1639355.847
158	1635883.054
159	1635676.217
160	1633299.663
161	1631986.245
162	1617953.398
163	1617508.906
164	1615858.85
165	1614059.965
166	1594182.446
167	1590709.844
168	1583607.461
169	1583238.859
170	1583116.536
171	1582679.055
172	1580630.268
173	1580245.12
174	1580210.781
175	1580161.033
176	1579813.096
177	1579686.007
178	1576726.05
179	1576359.791
180	1574646.375
181	1574522.565
182	1573236.982
183	1570531.844
184	1540365.683
185	1540235.259
186	1538754.234
187	1538374.201
188	1538028.497
189	1537712.853
190	1521074.85
191	1518834.426
192	1514494.132
193	1514428.725
194	1513942.628
195	1513641.069
196	1513620.386
197	1513560.849
198	1513283.729
199	1513174.91
200	1512918.791
201	1508965.823
202	1508936.901
203	1508923.304
204	1508779.088
205	1496429.485
206	1496322.462
207	1496252.397
208	1496063.226
209	1495987.743
210	1495937.093
211	1495702.259
212	1495687.349
213	1492477.304
214	1492254.731
215	1492050.387
216	1492038.978
217	1491850.792
218	1482020.039
219	1481830.512
220	1481729.049
221	1481553.978
222	1480597.309
223	1475512.183
224	1474301.309
225	1473757.246
226	1473272.487
227	1473222.416
228	1473198.505
229	1473151.402
230	1472982.524
231	1467860.077
