iter	Passed	Remaining
0	342	342124
1	544	271698
2	723	240592
3	932	232093
4	1137	226436
5	1329	220237
6	1502	213119
7	1719	213233
8	1942	213921
9	2090	206968
10	2232	200722
11	2393	197074
12	2562	194573
13	2725	191940
14	2918	191641
15	3064	188458
16	3219	186152
17	3398	185427
18	3540	182778
19	3704	181499
20	3854	179670
21	3994	177590
22	4139	175853
23	4281	174098
24	4426	172618
25	4599	172321
26	4771	171964
27	4908	170407
28	5062	169522
29	5211	168497
30	5392	168572
31	5536	167473
32	5752	168551
33	5930	168487
34	6082	167713
35	6233	166922
36	6381	166088
37	6550	165821
38	6710	165363
39	6898	165559
40	7060	165152
41	7133	162719
42	7289	162240
43	7448	161831
44	7602	161350
45	7734	160412
46	7890	159989
47	8075	160168
48	8238	159894
49	8367	158982
50	8503	158233
51	8685	158337
52	8863	158370
53	9004	157745
54	9159	157378
55	9331	157310
56	9506	157266
57	9674	157125
58	9842	156985
59	9993	156561
60	10147	156202
61	10295	155757
62	10457	155535
63	10607	155128
64	10759	154768
65	10900	154264
66	11029	153595
67	11185	153309
68	11320	152742
69	11494	152707
70	11647	152402
71	11814	152277
72	11937	151592
73	12096	151364
74	12218	150699
75	12370	150405
76	12509	149951
77	12628	149270
78	12790	149114
79	12933	148733
80	13096	148584
81	13232	148140
82	13360	147610
83	13499	147206
84	13660	147055
85	13807	146742
86	13957	146476
87	14121	146350
88	14287	146246
89	14468	146293
90	14681	146653
91	14830	146371
92	14984	146135
93	15141	145941
94	15284	145606
95	15422	145228
96	15522	144501
97	15636	143919
98	15815	143940
99	15962	143665
100	16111	143411
101	16327	143744
102	16560	144223
103	16719	144046
104	16902	144073
105	17077	144034
106	17235	143846
107	17381	143557
108	17548	143444
109	17705	143250
110	17860	143046
111	18015	142835
112	18172	142642
113	18328	142446
114	18476	142186
115	18612	141841
116	18739	141426
117	18871	141054
118	19009	140735
119	19152	140454
120	19310	140282
121	19465	140091
122	19624	139926
123	19777	139719
124	19914	139403
125	20051	139084
126	20211	138932
127	20374	138803
128	20531	138627
129	20678	138385
130	20833	138200
131	21003	138114
132	21152	137891
133	21296	137631
134	21445	137409
135	21614	137317
136	21752	137021
137	21917	136907
138	22031	136465
139	22197	136355
140	22295	135826
141	22458	135697
142	22608	135492
143	22765	135328
144	22927	135194
145	23052	134842
146	23142	134292
147	23258	133891
148	23352	133373
149	23477	133041
150	23563	132484
151	23700	132226
152	23847	132018
153	23990	131792
154	24088	131322
155	24255	131229
156	24412	131079
157	24563	130901
158	24724	130773
159	24891	130677
160	25044	130513
161	25185	130278
162	25312	129977
163	25475	129863
164	25611	129609
165	25752	129383
166	25886	129123
167	25986	128693
168	26127	128475
169	26275	128285
170	26439	128177
171	26535	127739
172	26626	127284
173	26708	126790
174	26838	126523
175	27002	126421
176	27105	126034
177	27269	125931
178	27426	125793
179	27532	125425
180	27689	125289
181	27839	125124
182	27987	124947
183	28070	124487
184	28201	124239
185	28343	124041
186	28516	123976
187	28623	123627
188	28717	123225
189	28841	122955
190	28968	122697
191	29109	122502
192	29261	122351
193	29408	122180
194	29568	122066
195	29654	121643
196	29855	121695
197	30025	121619
198	30119	121236
199	30292	121169
200	30384	120783
201	30540	120648
202	30703	120543
203	30865	120434
204	31014	120276
205	31162	120110
206	31335	120042
207	31478	119861
208	31635	119729
209	31790	119591
210	31963	119523
211	32055	119151
212	32209	119007
213	32370	118891
214	32447	118471
215	32527	118062
216	32682	117929
217	32779	117583
218	32945	117489
219	33028	117100
220	33208	117055
221	33310	116735
222	33475	116638
223	33625	116487
224	33753	116261
225	33905	116120
226	34068	116013
227	34212	115843
228	34365	115702
229	34515	115550
230	34609	115214
231	34743	115012
232	34912	114925
233	35085	114851
234	35189	114551
235	35345	114424
236	35461	114166
237	35590	113950
238	35681	113613
239	35829	113458
240	35950	113220
241	36112	113114
242	36292	113060
243	36444	112919
244	36591	112762
245	36671	112398
246	36816	112238
247	36974	112114
248	37069	111804
249	37170	111511
250	37283	111256
251	37441	111137
252	37572	110934
253	37781	110963
254	37942	110852
255	38090	110700
256	38245	110568
257	38391	110411
258	38564	110333
259	38715	110189
260	38860	110029
261	39030	109941
262	39185	109807
263	39349	109702
264	39502	109562
265	39620	109329
266	39713	109025
267	39798	108703
268	39953	108571
269	40087	108385
270	40228	108217
271	40370	108050
272	40453	107727
273	40598	107570
274	40772	107491
275	40923	107351
276	41090	107251
277	41191	106980
278	41337	106826
279	41429	106531
280	41601	106447
281	41684	106133
282	41835	105994
283	41939	105734
284	42047	105487
285	42133	105187
286	42239	104937
287	42388	104793
288	42495	104546
289	42654	104429
290	42751	104160
291	42920	104067
292	43119	104045
293	43296	103970
294	43451	103842
295	43597	103690
296	43743	103541
297	43889	103391
298	43975	103099
299	44063	102815
300	44215	102680
301	44399	102618
302	44565	102515
303	44721	102389
