iter	Logloss
0	0.6865966856
1	0.6806215934
2	0.6739875757
3	0.6678419082
4	0.6624942923
5	0.6566970216
6	0.6508469509
7	0.6455842604
8	0.6403864586
9	0.6353046095
10	0.6297611894
11	0.6247448118
12	0.6199775369
13	0.6146468846
14	0.6104212405
15	0.6055743184
16	0.6009176146
17	0.5963192437
18	0.5922849634
19	0.5885011525
20	0.5850892306
21	0.5813628831
22	0.577567968
23	0.5739776023
24	0.5708316853
25	0.5670878137
26	0.5637053521
27	0.5603822352
28	0.5576465683
29	0.5543308504
30	0.5511123112
31	0.5485861335
32	0.5452214004
33	0.5421119131
34	0.5389777458
35	0.5356452741
36	0.533166868
37	0.5302879541
38	0.5271642301
39	0.5240225861
40	0.521734091
41	0.5190592848
42	0.5161195262
43	0.5133087774
44	0.5108115613
45	0.5082978528
46	0.5059471569
47	0.5034891746
48	0.5011338551
49	0.4989931048
50	0.4974643331
51	0.4951996856
52	0.4929023222
53	0.490888809
54	0.4888218632
55	0.486464448
56	0.4844096232
57	0.4825620875
58	0.4806844413
59	0.4787945154
60	0.4773439827
61	0.4755396353
62	0.4738649663
63	0.4721098385
64	0.471335598
65	0.4693397741
66	0.4677684912
67	0.4666504236
68	0.4651176188
69	0.464021486
70	0.4624042073
71	0.4612778935
72	0.4599223374
73	0.458851338
74	0.4576050732
75	0.4560031128
76	0.4554158709
77	0.4540175241
78	0.4526348208
79	0.4514111095
80	0.4501250817
81	0.4490709927
82	0.4480560034
83	0.4470610775
84	0.4458717356
85	0.4444363068
86	0.4432450739
87	0.4419605428
88	0.4405795761
89	0.439411144
90	0.4383445893
91	0.4370984024
92	0.4359541144
93	0.4351653922
94	0.4340978632
95	0.4330140187
96	0.431921068
97	0.4307843392
98	0.4304325441
99	0.4296705946
100	0.4286993473
101	0.4276419236
102	0.4266833934
103	0.4260992103
104	0.4252090501
105	0.424846026
106	0.4239722098
107	0.422948647
108	0.4221012631
109	0.420779163
110	0.4202460692
